OrderID,Product,Category,Brand,Platform,City,Price,Quantity,TotalAmount,Rating,Reviews,OrderDate
ORD400517,Nike Air Max,Fashion,Nike,Amazon,Casablanca,7533.0,5,37665.0,4.98,547,2024-01-01
ORD400857,T-shirt Cotton,Fashion,Generic,Jumia,Alexandria,15851.24,3,47553.72,4.35,1763,2024-01-01
ORD402537,Nivea Face Cream 50ml,Beauty,Nivea,Amazon,Dubai,507.44,5,2537.2,2.19,3545,2024-01-01
ORD402571,Nike Air Max,Fashion,Nike,Souq,Kuwait City,12045.69,4,48182.76,4.99,4656,2024-01-01
ORD402734,Smartwatch FitPro,Wearables,FitPro,Amazon,Giza,8299.4,5,41497.0,2.71,5000,2024-01-01
ORD402927,Dell Inspiron 3501,Computers,Dell,Souq,Kuwait City,15367.98,4,61471.92,3.55,1614,2024-01-01
ORD403385,Bluetooth Headset,Accessories,JBL,Souq,Casablanca,4703.83,5,23519.15,3.7,3347,2024-01-01
ORD403702,Adidas Running Shoes,Fashion,Adidas,Jumia,Riyadh,12652.87,4,50611.48,1.42,358,2024-01-01
ORD403728,Nike Air Max,Fashion,Nike,Jumia,Casablanca,5974.63,4,23898.52,3.15,893,2024-01-01
ORD403940,Bluetooth Headset,Accessories,JBL,Amazon,Doha,14495.24,2,28990.48,4.02,1048,2024-01-01
ORD404141,Nivea Face Cream 50ml,Beauty,Nivea,Amazon,Marrakech,357.57,1,357.57,3.46,1458,2024-01-01
ORD404819,Nike Air Max,Fashion,Nike,Jumia,Marrakech,8498.31,4,33993.24,2.04,733,2024-01-01
ORD405166,Tefal Cookware Set 10pcs,Home & Kitchen,Tefal,Amazon,Cairo,2659.49,5,13297.45,3.04,727,2024-01-01
ORD406124,T-shirt Cotton,Fashion,Generic,Amazon,Giza,17479.46,5,87397.3,3.88,2734,2024-01-01
ORD406735,Smartwatch FitPro,Wearables,FitPro,Souq,Jeddah,13649.36,5,68246.8,3.47,833,2024-01-01
ORD406742,Samsung Galaxy A14,Electronics,Samsung,Souq,Marrakech,3589.47,2,7178.94,4.43,352,2024-01-01
ORD406942,Bluetooth Headset,Accessories,JBL,Amazon,Kuwait City,1668.54,3,5005.62,3.41,1136,2024-01-01
ORD407164,Xiaomi Redmi Note 12,Electronics,Xiaomi,Souq,Cairo,13519.67,2,27039.34,3.62,2162,2024-01-01
ORD407221,iPhone 13,Electronics,Apple,Jumia,Kuwait City,4920.68,4,19682.72,4.07,3270,2024-01-01
ORD407496,Dell Inspiron 3501,Computers,Dell,Jumia,Dubai,3264.45,1,3264.45,2.39,5000,2024-01-01
ORD408818,HP Pavilion Laptop,Computers,HP,Souq,Marrakech,18992.76,2,37985.52,1.5,757,2024-01-01
